name,latitude,longitude,ticket_price,Information
Prospect Park,40.6602,-73.9681,0,"Prospect Park is a public park in Brooklyn, New York City. The park is situated between the neighborhoods of Park Slope, Prospect Lefferts Gardens, Ditmas Park, Windsor Terrace, and Flatbush. It is operated by the New York City Department of Parks and Recreation."
Central Park,40.7851,-73.9683,0,Central Park is an urban park in New York City located between the Upper West Side and Upper East Side neighborhoods of Manhattan. It is the most visited urban park in the United States and one of the most filmed locations in the world.
Brooklyn Heights,40.6969,-73.9937,0,"Brooklyn Heights is a park located in the Brooklyn Heights neighborhood of Brooklyn, New York City. It overlooks the Brooklyn Bridge and Lower Manhattan."
Bryant Park,40.7536,-73.9832,0,"Bryant Park is a beloved green space in the heart of Midtown Manhattan. It is known for its lush lawns, seasonal plantings, and iconic locations such as the Bryant Park Grill and Bryant Park Reading Room."
Flushing Meadows-Corona Park,40.745,-73.8448,0,"Flushing Meadows-Corona Park, often referred to as Flushing Meadows Park or Flushing Meadows, is a public park in Queens, New York City. The park is the fourth largest public park in New York City, and it is notable for hosting two World's Fairs: one in 1939 and another in 1964."
Washington Square Park,40.7308,-73.9973,0,"Washington Square Park is a historic green space in the Greenwich Village neighborhood of Manhattan, New York City. It is known for its iconic Washington Square Arch and vibrant atmosphere, attracting visitors and locals alike."
The High Line,40.748,-74.0048,0,"The High Line is a linear park built on a historic freight rail line elevated above the streets on Manhattan's West Side. It features lush gardens, art installations, and stunning views of the city skyline."
Riverside Park,40.787,-73.9754,0,Riverside Park is a scenic waterfront park stretching along the Hudson River on the Upper West Side of Manhattan. It offers picturesque views of the river and numerous recreational opportunities for visitors.
Hudson River Park,40.7322,-74.008,0,"Hudson River Park is a waterside park on the Hudson River that extends from 59th Street south to Battery Park in Manhattan. It features recreational piers, walking paths, and green spaces."
Battery Park,40.7033,-74.017,0,"Battery Park is a historic park located at the southern tip of Manhattan. It is home to landmarks such as Castle Clinton, the Battery Oval, and the SeaGlass Carousel."
Union Square Park,40.7359,-73.9904,0,"Union Square Park is a public park in Manhattan's Union Square neighborhood. It is known for its bustling atmosphere, vibrant greenery, and iconic Union Square Greenmarket."
Governors Island Park,40.6892,-74.0167,0,"Governors Island Park is a 172-acre island park located in the New York Harbor, accessible by ferry from Lower Manhattan and Brooklyn. The park offers stunning views of the Statue of Liberty and the Manhattan skyline, as well as historic sites and recreational activities."
Astoria Park,40.7794,-73.922,0,"Astoria Park is a public park located in the Astoria neighborhood of Queens, New York City. It features athletic fields, courts, and pools, as well as stunning views of the East River and the Manhattan skyline."
Pelham Bay Park,40.8678,-73.8055,0,"Pelham Bay Park is the largest public park in New York City, spanning over 2,700 acres in the Bronx. It features diverse ecosystems, including forests, wetlands, and beaches, as well as recreational facilities."
Coney Island Beach & Boardwalk,40.5734,-73.9784,0,"Coney Island Beach & Boardwalk is a historic seaside destination in Brooklyn, New York City. It is known for its sandy beaches, iconic amusement parks, and vibrant boardwalk."
Randalls Island Park,40.7932,-73.9213,0,"Randalls Island Park is a recreational park located in the East River between Manhattan, Queens, and the Bronx. It offers a wide range of sports fields, playgrounds, and natural areas."
Van Cortlandt Park,40.889,-73.8987,0,"Van Cortlandt Park is a large public park in the Bronx, New York City. It features wooded trails, open fields, and recreational facilities, including golf courses and sports fields."
Inwood Hill Park,40.8676,-73.9218,0,"Inwood Hill Park is a scenic park located at the northern tip of Manhattan, New York City. It features rugged terrain, forested areas, and stunning views of the Hudson River and the Palisades."
Staten Island Greenbelt,40.589,-74.1347,0,"The Staten Island Greenbelt is a network of interconnected parks and natural areas spanning over 2,800 acres in Staten Island, New York City. It offers hiking trails, wildlife habitats, and scenic vistas."
Jacob Riis Park,40.5676,-73.8894,0,"Jacob Riis Park is a public beach in Queens, New York City, located on the Rockaway Peninsula. It is known for its wide sandy beaches, historic bathhouse, and scenic boardwalk."
