name,Borough,BUILDING,STREET,ZIPCODE,PHONE,cuisine_description,latitude,longitude,is_vegan,is_vegetarian,is_kids_friendly,ticket_price,Information
BILL'S NEW YORK CITY,Manhattan,57,EAST   54 STREET,10022,2125182727,American,40.76009669,-73.9731292,1,1,0,23.16,The cuisine is American
TGA NYC,Manhattan,320,WEST   36 STREET,10018,2126514842,American,40.75381689,-73.99336234,1,1,0,19.06,The cuisine is American
DUNKIN,Bronx,1090,MORRIS PARK AVENUE,10461,7189750433,Donuts,40.84939717,-73.85334877,0,0,1,48.15,The cuisine is Donuts
EL ENCANTO CENTRO-AMERICANO RESTAURANT,Queens,14912,JAMAICA AVENUE,11435,7182629799,Latin American,40.7019266,-73.80525983,0,1,0,42.04,The cuisine is Latin American
TAQUERIA EL PUENTE,Brooklyn,9300,5 AVENUE,11209,7189212580,Mexican,40.6167226,-74.03031395,0,1,1,36.04,The cuisine is Mexican
BUBBA'S BISTRO,Queens,3113,DITMARS BLVD,11105,7187282227,Creole/Cajun,40.77575919,-73.91015437,1,1,0,32.08,The cuisine is Creole/Cajun
EL COYOTE,Queens,70-09,AUSTIN STREET,11375,7182680777,Mexican,40.72082674,-73.84660157,1,1,0,11.97,The cuisine is Mexican
ANIL'S ROTI SHOP,Queens,12501,LIBERTY AVENUE,11419,7188452800,Caribbean,40.68815695,-73.81922229,0,0,1,24.91,The cuisine is Caribbean
HOLLAND BAY RESTAURANT,Staten Island,78,VICTORY BOULEVARD,10301,6466234475,Caribbean,40.63794645,-74.07942298,1,1,1,23.17,The cuisine is Caribbean
HE JI NOODLE HOUSE,Queens,133-35,ROOSEVELT AVENUE,11354,6316625587,Chinese,40.758502,-73.83324181,0,0,0,20.31,The cuisine is Chinese
TOM'S RESTAURANT,Manhattan,2880,BROADWAY,10025,2128646137,American,40.80549019,-73.96572025,1,1,0,21.69,The cuisine is American
LUKE'S LOBSTER,Brooklyn,11,WATER STREET,11201,3475692681,Seafood,40.70322815,-73.99407069,0,0,0,20.8,The cuisine is Seafood
KRUSH,Manhattan,2,WEST   32 STREET,10001,9178649456,American,40.74730839,-73.98590313,0,0,0,32.19,The cuisine is American
FRAME GOURMET EATERY,Manhattan,424,WEST   33 STREET,10001,2122733730,American,40.75309244,-73.99770446,1,1,1,14.17,The cuisine is American
DANTE,Manhattan,79-81,MACDOUGAL ST,10012,2129825275,Italian,40.72877111,-74.00153341,0,0,0,37.04,The cuisine is Italian
DIG INN,Manhattan,11,PENN PLZ,10001,2125457867,American,40.74939498,-73.99177476,0,1,1,21.57,The cuisine is American
MILANO'S BAR,Manhattan,51,EAST HOUSTON STREET,10012,2122268844,Bottled Beverages,40.72476912,-73.99444037,1,1,1,14.09,The cuisine is Bottled Beverages
HOME MADE BAKLAWA,Queens,24-39,STEINWAY STREET,11103,7187770876,Bakery Products/Desserts,40.76848368,-73.91122922,0,0,1,23.55,The cuisine is Bakery Products/Desserts
WENDY'S,Queens,22006,NORTHERN BLVD,11361,7182243636,Hamburgers,40.76146862,-73.76147494,0,0,1,34.83,The cuisine is Hamburgers
VILLA FRESH ITALIAN KITCHEN,Manhattan,625,8 AVENUE,10018,2129719242,Pizza,40.75618542,-73.99056473,1,1,0,29.96,The cuisine is Pizza
URBAN BACKYARD,Manhattan,180,MULBERRY STREET,10012,6463614657,Coffee/Tea,40.72069048,-73.99674957,1,1,1,47.95,The cuisine is Coffee/Tea
BAGEL EXPRESS III,Manhattan,340,3 AVENUE,10010,2122134700,Bagels/Pretzels,40.74020442,-73.98215526,0,1,1,29.15,The cuisine is Bagels/Pretzels
EL VALLE RESTAURANT,Bronx,640,MELROSE AVENUE,10455,7185855858,Latin American,40.81842303,-73.91668648,0,1,1,30.21,The cuisine is Latin American
OVI'S PLACE,Brooklyn,2925,AVENUE H,11210,7184211640,American,40.63153663,-73.94796195,1,1,0,46.09,The cuisine is American
PANDA EXPRESS,Manhattan,414,8 AVENUE,10001,9176393302,Chinese,40.75007861,-73.99498324,1,1,0,27.81,The cuisine is Chinese
JUBILEE,Manhattan,946948,1ST AVE,,2128883569,French,0,0,0,1,1,21.06,The cuisine is French
RADHUNI SWEETS & RESTAURANT,Brooklyn,483,MCDONALD AVENUE,11218,7189720072,Bangladeshi,40.64224574,-73.97932412,0,0,1,10.44,The cuisine is Bangladeshi
EJ'S BAKERY & CAFE,Bronx,462,WEST  261 STREET,10471,3479490023,Spanish,40.91001188,-73.90267124,0,1,0,21.11,The cuisine is Spanish
"THE PENINSULA NEW YORK, CLEMENT/ THE GOTHAM LOUNGE/ SALON DE NING",Manhattan,700,FIFTH AVE,10019,2129562888,American,40.76172757,-73.97533775,0,1,0,46.6,The cuisine is American
HEALTHY FRESH,Bronx,1033,MORRIS PARK AVENUE,10461,7186846411,American,40.84861989,-73.85511078,0,0,0,10.53,The cuisine is American
HAND PULL NOODLE & DUMPLING HOUSE,Brooklyn,7201,18 AVENUE,11204,7182326191,Chinese,40.61503294,-73.99430187,1,1,0,29.58,The cuisine is Chinese
BEN'S PIZZA,Manhattan,123,MACDOUGAL STREET,10012,2126770976,Pizza,40.73036309,-74.00018762,1,1,1,32.26,The cuisine is Pizza
LENA'S ITALIAN KITCHEN,Manhattan,551,2 AVENUE,10016,6468465362,Italian,40.74252841,-73.97747406,1,1,1,29.54,The cuisine is Italian
TITAHS DELI GROCERY,Queens,10613,NORTHERN BLVD,11368,7185652527,Spanish,40.75776687,-73.86259335,1,1,0,44.25,The cuisine is Spanish
TORINO PIZZA,Staten Island,1694,RICHMOND ROAD,10304,7183513100,Pizza,40.58889028,-74.10191394,1,1,0,30.42,The cuisine is Pizza
OH BAGEL,Brooklyn,1755,CONEY ISLAND AVENUE,11230,5163135527,Jewish/Kosher,40.6143794,-73.96319665,0,1,0,36.12,The cuisine is Jewish/Kosher
LAVO NEW YORK,Manhattan,39,EAST   58 STREET,10022,2127505588,Italian,40.76280537,-73.97148561,0,0,0,47.3,The cuisine is Italian
DON PEPIS DELICATESSEN,Manhattan,,AMTRAK LEVEL,10001,2127600802,Sandwiches,,,0,0,0,49.83,The cuisine is Sandwiches
O'SAKE ROCKAWAY JAPANESE RESTAURANT,Queens,263,BEACH  116 STREET,11694,7189458888,Japanese,40.58064934,-73.83770159,1,1,1,19.93,The cuisine is Japanese
JAKE'S STEAKHOUSE,Bronx,6031,BROADWAY,10471,7185810182,Steakhouse,40.8917987,-73.89724371,1,1,0,43.45,The cuisine is Steakhouse
TARBOOSH CAFE,Brooklyn,7222,5 AVENUE,11209,7186446698,Middle Eastern,40.63146951,-74.02183261,1,1,1,36.01,The cuisine is Middle Eastern
ELLEN'S STARDUST DINER,Manhattan,1650,BROADWAY,10019,2129565151,American,40.76195688,-73.98368358,1,1,0,29.03,The cuisine is American
RENEE'S KITCHENETTE,Queens,6914,ROOSEVELT AVENUE,11377,7184769002,Filipino,40.74634271,-73.89609752,1,1,0,42.25,The cuisine is Filipino
KOBRICK COFFEE CO.,Manhattan,24,9 AVENUE,10014,2122555588,Coffee/Tea,40.74040329,-74.00574498,1,1,1,41.09,The cuisine is Coffee/Tea
STAYBRIDGE SUITES,Manhattan,340,WEST   40 STREET,10018,2127579000,American,40.75645726,-73.9919688,1,1,0,30.03,The cuisine is American
TABLE D'HOTE,Manhattan,44,EAST   92 STREET,10128,2123488125,French,40.78453061,-73.95573929,1,1,0,23.09,The cuisine is French
MONA'S CUISINE,Staten Island,360,TARGEE STREET,10304,3478253352,Caribbean,40.61846279,-74.08490002,0,0,1,12.78,The cuisine is Caribbean
MOCA ASIAN BISTRO,Queens,107-18,70 ROAD,11375,7182683333,Asian/Asian Fusion,40.72131919,-73.8454027,1,1,0,10.55,The cuisine is Asian/Asian Fusion
GREG SHIA,Queens,14734B,NORTHERN BLVD,11354,7188888817,Korean,40.76516128,-73.81907023,1,1,0,36.86,The cuisine is Korean
BUFF PATTY RESTAURANT & BAKERY,Brooklyn,376,MYRTLE AVENUE,11205,7188553266,Caribbean,40.69316784,-73.97116933,0,1,0,38.1,The cuisine is Caribbean
SAM'S FRIED ICE CREAM,Manhattan,37B,ORCHARD ST,10002,6468337538,Frozen Desserts,40.71579354,-73.99143623,1,1,1,23.69,The cuisine is Frozen Desserts
EL PASO RESTAURANT,Manhattan,123,EAST  110 STREET,10029,6465901438,Mexican,40.79512628,-73.94518264,0,1,0,22.52,The cuisine is Mexican
"DUNKIN',' BASKIN ROBBINS",Bronx,2,EAST KINGSBRIDGE ROAD,10468,7187334347,Donuts,40.86739535,-73.89724179,1,1,1,42.77,The cuisine is Donuts
WYCKOFF RESTAURANT,Brooklyn,250,WYCKOFF AVENUE,11237,3472945531,Mexican,40.7005548,-73.91295376,1,1,1,15.23,The cuisine is Mexican
FAMILY PIZZA,Brooklyn,720,FLATBUSH AVENUE,11225,7184620639,Pizza,40.65579158,-73.95991204,0,1,0,37.2,The cuisine is Pizza
LA ABUNDANCIA,Queens,6314,BROADWAY,11377,7186721515,Spanish,40.74991905,-73.89906949,0,0,0,43.85,The cuisine is Spanish
NUHMA,Queens,3315,GREENPOINT AVE,11101,2126731806,American,40.73575143,-73.93425131,1,1,0,14.31,The cuisine is American
TOMPKINS SQUARE BAGELS,Manhattan,184,2 AVENUE,10003,7188109857,Bagels/Pretzels,40.73074377,-73.98609427,0,0,1,36.57,The cuisine is Bagels/Pretzels
LA BAGEL DELIGHT,Brooklyn,73,LAFAYETTE AVENUE,11217,7182463744,Bagels/Pretzels,40.6871111,-73.97536906,1,1,0,41.38,The cuisine is Bagels/Pretzels
EAST PALACE,Manhattan,819,2 AVENUE,10017,2129497708,Chinese,40.75093701,-73.97140048,1,1,0,20.71,The cuisine is Chinese
COSTA VERDE,Queens,9459,CORONA AVENUE,11373,7182710900,Peruvian,40.74230268,-73.86948201,1,1,0,36.76,The cuisine is Peruvian
DARBAR'S CHICKEN & RIBS,Queens,12609,LIBERTY AVE,11419,7185294900,Chicken,40.68858339,-73.81812134,1,1,1,31.23,The cuisine is Chicken
SARKU JAPAN,Staten Island,2655,RICHMOND AVENUE,10314,7186983023,Japanese,40.58229742,-74.16905259,0,0,0,48.96,The cuisine is Japanese
